Name,Category,Website
Medibloc,Social Impact,<https://medibloc.com/>
Microtick,Marketplace,<https://microtick.com/>
Minter,Infrastructure,<https://www.minter.network/>
Mir,Privacy,
Mirror Protocol,Finance,<https://mirror.finance/>
MMX,Microservice,
Monet,Social,
Mooncake,Social,
N06,Social Impact,
NCP,Finance,
NDau,Finance,<https://ndau.io/>
NetCloth,Infrastructure,<https://www.netcloth.org/>
Ninja Chain,Infrastructure,
Noah City,Social Impact,
Nomic BTC,Infrastructure,
Nym Protocol,Privacy,<https://nymtech.net/>
Oasis Protocol,Privacy,<https://oasisprotocol.org/>
Ockam Hub,Microservice,<https://www.ockam.io/>
Odin Protocol,Infrastructure,
OKExChain,Finance,<https://www.okex.com/okexchain>
OmniFlix Network,Marketplace,<https://omniflix.network/>
OneLedger,Infrastructure,<https://www.oneledger.io/>
Onomy,Finance,<https://onomy.co/>
Open,Social,
Oraichain,Infrastructure,<https://orai.io/>
Osmosis,Finance,<https://osmosis.zone/>
Ourboros,Finance,
PayWithTerra,Infrastructure,
Penumbra,Privacy,<https://penumbra.zone/>
Permanent Ecological,Infrastructure,
Persistence,Finance,<https://persistence.one/>
Plasma MVP Sidechain,Infrastructure,
Pocket Network,Infrastructure,<https://www.pokt.network/>
Polygon (Prev. Matic),Infrastructure,<https://polygon.technology/>
Pool Toy,Games,
Post Chain,Enterprise,
Provenance Blockchain,Finance,<https://www.provenance.io/>
Pulsar Finance,Finance,
Pylons,NFT,<https://pylons.tech/>
QaChain,Social,
Qonico,Infrastructure,
Qredo,DEX,<https://www.qredo.com/>
QuarkChain,Infrastructure,<https://www.quarkchain.io/>
Quasar (Cosmwasm),Infrastructure,
Real Estate Exchange,Finance,
ReDAOmint,Finance,
Regen,Social Impact,
Regen Network,Social Impact,<https://www.regen.network/>
Ren Protocol,Infrastructure,<https://renproject.io/>
Request Chain,Infrastructure,
Rizon,Infrastructure,<https://www.rizon.world/>
RucBlockchain,Infrastructure,
Sampark,Social,
Sand Blockchain,Marketplace,
Saturn Money,Finance,
Sayans-Network,Microservice,
Scavenge,Games,
Scynet,Infrastructure,
Secret Finance,Finance,
Secret Network (prev. Enigma),Privacy,<https://scrt.network/>
Sentinel,Privacy,<https://sentinel.co/>
Sentry Protocol,Infrastructure,
ShareRing,Marketplace,<https://sharering.network/>
Shentu Chain,Infrastructure,<https://www.shentu.technology/>
Shiaa3,NFT,
Shido,Infrastructure,
Sienna Network,Privacy,<https://sienna.network/>
Sifchain,DEX,<https://www.sifchain.finance/>
Smart City Blockchain,Infrastructure,
SmartPesa,Finance,<https://www.smartpesa.com/>
Soarchain,Infrastructure,
Sommelier Finance,Finance,<https://www.sommelier.finance/>
Spend,Finance,<https://www.spend.com/>
Spohon,Smart Contracts,
Sputnik Network,Finance,
Stargaze,Social,<https://stargaze.zone/>
Starname (iov),Infrastructure,<https://www.starname.me/>
Starway Monster,Uncategorized,
Stateset,Enterprise,<https://www.stateset.io/>
Straightedge,Smart Contracts,
Stride,Finance,<https://stride.zone/>
Summa Burning Bitcoin,Infrastructure,
Superlottery,Finance,
Supernova,Finance,<https://www.supernovas.xyz/>
Syntropy,Infrastructure,<https://www.syntropynet.com/>
TaskStream,Productivity,
Terra,Finance,<https://terra.money/>
Terra Encoder,Microservice,
Tgrade,Finance,<https://tgrade.finance/>
Thailand National Digital ID,Smart Contracts,
THORChain,Finance,<https://thorchain.org/>
Timpi,Social Impact,
Timpi,Privacy,
TrackMate,Microservice,
Twilight,Finance,
TwoGap Chain,Finance,<https://twogap.com/>
TxFlow,Infrastructure,
U Network,Infrastructure,<https://u.network/>
Umee Network,Infrastructure,<https://www.umee.cc/>
Unification,Enterprise,<https://unification.com/>
Unification WRK Oracle,Infrastructure,
UP Voting System,Privacy,
Uptick,NFT,<https://uptick.network/>
Vega Protocol,Finance,<https://vega.xyz/>
Vocdoni,Privacy,<https://vocdoni.io/>
WenChang,Infrastructure,
WeTrust,Social Impact,<https://www.wetrust.io/>
White City,Microservice,
Wisdom of Crowd,Marketplace,
Xar Network,Finance,<https://xar.network/>
XPLA,Games,<https://xpla.io/>
Zenchain,Infrastructure,<https://zenchain.co/>
Zigbee,Social Impact,
